"track","iteration","area","problem","hypothesis","action","status","validation","result","next_step","owner","last_updated"
"normalize-mainline","I011","body-vs-metadata","DOI, citation formats, submission links, and other publisher/promotional tails on page 6 of real Paddle samples were misidentified as body and entered translation extraction","Identifying publisher metadata runs during the extractor's page-structure phase and retaining only body-related structure_roles before final return can suppress non-body content entering the body without affecting rendering","Add publisher metadata run degradation in json_extractor.py; support long runs and short runs (e.g., doi + cite pairs), and filter final extraction results by structure_role","done","pytest devtools/tests/translation/test_provider_continuation.py -q; pytest devtools/tests/translation/test_book_translation_policies.py -q; python3 backend/scripts/devtools/tests/document_schema/regression_check.py; manually review page 6 extraction results","doi/cite/submit/url blocks previously extracted from page 6 of 20260416111348-9141bd have disappeared, and the full regression chain remains green","Continue scanning the entire book for similar metadata/publisher fragments mixed into the body; if found, continue adding targeted run rules","wxyhgk","2026-04-16"
"normalize-mainline","I012","metadata-singleton","Real sample page 1 still has a very short publisher badge `Open Access` entering body extraction, indicating long run/short run rules are insufficient","Downgrade very short singleton text hitting strong metadata keywords to metadata to remove badge-like fragments without affecting body sentences","Add publisher metadata singleton rules in json_extractor.py and add generic fixture tests","done","pytest devtools/tests/translation/test_provider_continuation.py -q; python3 backend/scripts/devtools/tests/document_schema/regression_check.py; scan metadata cue hits on real sample pages 1-6","`20260416111348-9141bd` page 1 `Open Access` disappeared; residual hits for `doi/url/cite/open access/submit manuscript` on pages 1-6 dropped to 0","Continue scanning real samples for overly short body fragments to determine if other singletons are misclassified as body","wxyhgk","2026-04-16"
"normalize-mainline","I013","ancillary-tail-sections","Real sample page 5: tail sections like `Competing interests`, `Authors' contributions`, `Acknowledgments`, and `References` still extracted as main body heading/body","Downgrading known ancillary tail headings and subsequent body paragraphs to metadata during page-structure phase will further reduce non-body noise in main body","Add ancillary tail section downgrade rules to json_extractor.py and add generic fixture tests","done","pytest devtools/tests/translation/test_provider_continuation.py -q; python3 backend/scripts/devtools/tests/document_schema/regression_check.py; verify page 5 extraction results","Real sample page 5 now only retains main body and `Conclusions`; tail ancillary sections removed from extraction; full regression remains green","Continue scanning book for remaining non-body misidentifications such as article-type badges, publisher phrases, or tail metadata","wxyhgk","2026-04-16"
"normalize-mainline","I014","front-matter-metadata","Real sample page 1: author lines still incorrectly extracted as body, indicating remaining non-body metadata in front matter","Identifying `title -> body -> abstract/heading` layers using original page blocks context during block-level filtering allows targeted removal of author/institution metadata without affecting main body chain","Add front matter block-level filtering to json_extractor.py and add author-line fixture tests","done","pytest devtools/tests/translation/test_provider_continuation.py -q; python3 backend/scripts/devtools/tests/document_schema/regression_check.py; verify page 1 extraction for data/jobs/20260416111348-9141bd","Page 1 author lines removed from extraction; `extractor_new_document` count decreased from 14 to 13; abstract/keywords/body remain unchanged","Continue scanning real samples for remaining front matter like institutions, emails, or corresponding author footnotes in main body chain","wxyhgk","2026-04-16"
"normalize-mainline","I015","keywords-metadata","Page 1 `Keywords:` line still extracted as body; these keyword lines are not part of the main translation chain","Treating single-line `Keywords:` / `Key words:` as metadata singletons reduces front matter noise without affecting body paragraphs","Add keywords singleton downgrade in json_extractor.py and add generic fixture tests","done","pytest devtools/tests/translation/test_provider_continuation.py -q; python3 backend/scripts/devtools/tests/document_schema/regression_check.py; verify page 1 extraction on real sample","`Keywords:` removed from page 1 extraction; `extractor_new_document` count decreased from 13 to 12; abstract and body after Introduction remain unchanged","Continue scanning first page for remaining front matter like email, corresponding author footnotes, and institution lines","wxyhgk","2026-04-17"
"normalize-mainline","I016","paddle-normalize-contract","Paddle body repair is executed in adapter, but `document.v1` previously only exposed `provider_*` diagnostic fields; downstream layers still depend on provider private keys","Writing generic block metadata during normalize and prioritizing generic fields in continuation/translation moves body repair, column splitting, and continuation suppression forward to the normalize contract","Add generic repair/suppression fields in paddle block_reader/continuation; update translation payload and continuation/orchestrator to generic-first with provider fallback; rerun real job normalize for verification","done","pytest devtools/tests/document_schema/test_paddle_adapter.py -q; pytest devtools/tests/translation/test_provider_continuation.py -q; pytest devtools/tests/translation/test_book_translation_policies.py -q; python3 backend/scripts/devtools/tests/document_schema/regression_check.py; python3 backend/scripts/entrypoints/run_normalize_ocr.py --spec data/jobs/20260416111348-9141bd/specs/normalize.spec.json","Repaired blocks in real samples now contain both `body_repair_applied/body_repair_role/body_repair_peer_block_id` and `continuation_suppressed/continuation_suppressed_reason` in `document.v1`; hard dependency on `provider_*` in downstream layers is decreasing","Gradually replace remaining direct `provider_*` reads in downstream layers with generic-first, keeping provider fields only for diagnostics","wxyhgk","2026-04-17"
"normalize-mainline","I017","paddle-body-repair-scope","Body repair entry required `text/body` after normalization, but Paddle raw `block_label` was not locked. Misclassification in the classification layer could still pull non-body blocks into repair.","Tightening body repair candidates to raw `block_label == text` prevents non-body blocks like `paragraph_title` or captions from being mis-repaired at the source.","Tighten `_is_body_candidate` in `paddle/body_repair.py` to raw label `text` + normalized kind `text/body`, and add regression test with forged `classified_kinds=body`.","done","pytest devtools/tests/document_schema/test_paddle_adapter.py -q; python3 backend/scripts/devtools/tests/document_schema/regression_check.py","Paddle body repair scope explicitly limited to raw `label=text`; repair will not trigger even if subsequent classification mislabels non-`text` blocks as body.","Next: enhance body candidate determination for empty bbox blocks with `label=text` to prevent other types from mixing back in.","wxyhgk","2026-04-17"
"normalize-mainline","I018","paddle-empty-slot-shape","Even with scope tightened to `label=text`, overly short empty text boxes may still be treated as body empty slots, especially near footers or fragmented residual boxes.","Restricting repair candidate empty boxes to `label=text` empty bboxes with body column height further reduces mis-repairs while preserving genuine cross-column empty slots.","Add `MIN_EMPTY_SLOT_HEIGHT` constraint in `paddle/body_repair.py` and add regression test for tiny empty text slots; rerun real job normalize to check page 6.","done","pytest devtools/tests/document_schema/test_paddle_adapter.py -q; python3 backend/scripts/entrypoints/run_normalize_ocr.py --spec data/jobs/20260416111348-9141bd/specs/normalize.spec.json; check page 6 metadata manually","Short empty boxes on page 6 of real sample did not enter body repair, `body_repair_pair_count=0`; body repairs on pages 1/3/4/5 are preserved.","Next: enhance candidate determination based on context for `label=text` empty bboxes, e.g., body heading adjacency, abstract area exemption, cross-column first-slot priority.","wxyhgk","2026-04-17"
"normalize-mainline","I019","paddle-area-split","Language-layer heuristics pull Paddle body repair toward prompt/syntactic guessing, which contradicts the normalize mainline and mis-repairs genuine cross-column body text.","Reverting split rules to `label=text` empty bbox + double-column relationship + area ratio splitting, and splitting only at the nearest whitespace, returns Paddle repair to structure-driven logic.","Remove syntactic heuristics for column carryover; keep only newline/whitespace candidates in `_choose_split_index`; rerun Paddle adapter tests and real job normalize.","done","pytest devtools/tests/document_schema/test_paddle_adapter.py -q; python3 backend/scripts/entrypoints/run_normalize_ocr.py --spec data/jobs/20260416111348-9141bd/specs/normalize.spec.json; check page 1/3/4/5 repaired pairs manually","Repair pairs on pages 1/3/4/5 of real sample are preserved; current implementation returns to structure-driven version (`label=text + empty bbox + area ratio`), no longer relying on syntactic end-of-sentence judgment.","Next: tighten structural constraints for `label=text` empty bboxes, e.g., same-column body neighbors, heading/abstract area boundaries, table page exclusion.","wxyhgk","2026-04-17"
"normalize-mainline","I020","paddle-body-flow-context","Relying only on `label=text + empty bbox + area ratio` still insufficient to show empty slot lies in body flow; without same-column body context, metadata-style empty slots still pose misrepair risk","If require `column_carryover` empty slot's column has sufficiently long same-column body blocks nearby, can tighten carryover to real body flow context; when no same-column body context, retain `same_band` structural repair","Add same-column body context constraint for `column_carryover` in paddle/body_repair.py, add page6 style short metadata neighbor anti-regression test; update continuation test samples to match real page1 structure","done","pytest devtools/tests/document_schema/test_paddle_adapter.py -q；python3 backend/scripts/entrypoints/run_normalize_ocr.py --spec data/jobs/20260416111348-9141bd/specs/normalize.spec.json；real sample review page1/3/4/5/6 body_repair_pairs","Real sample page1/3/4/5 repair pairs remain, page6 still 0; carryover now requires same-column body flow context, structural constraints closer to real body pages","Next continue separating abstract area and body, avoid `label=text` empty slots across abstract/body boundary being misrepaired","wxyhgk","2026-04-17"
"normalize-mainline","I021","paddle-abstract-body-boundary","Even with `label=text` restriction, if a page contains `doc_title/abstract/Abstract` front matter, front matter text like `Keywords` or author lines after the abstract may still mix into the main body during repair","Moving the body repair candidate start point to after the 'first actual body heading' separates abstract/front matter from the body without affecting subsequent body repair","Add `body_flow_start_order` in `paddle/body_repair.py`; when front matter exists, only allow `label=text` after the first non-`Abstract` `paragraph_title` to participate in repair, and add front matter boundary regression tests","done","pytest devtools/tests/document_schema/test_paddle_adapter.py -q; python3 backend/scripts/entrypoints/run_normalize_ocr.py --spec data/jobs/20260416111348-9141bd/specs/normalize.spec.json; review page1/3/4/5/6 body_repair_pairs","Body repair for real samples page1/4/5 retained, page3 changed to more reasonable `same_band` repair, page6 remains 0; front matter text no longer enters body repair candidates","Next: implement table/figure page exclusion, remove empty slots from body repair that are `label=text` but located at the bottom of pages dense with `chart/image/figure_title`","wxyhgk","2026-04-17"
"normalize-mainline","I022","paddle-json-sci-regression","`json_sci.json` is a Paddle sample closer to real scientific papers, containing formulas, charts, tables, and multiple empty `label=text` slots; without fixing it as a regression, the repair mainline is easily broken by future changes","Lock the `label=text` empty slot distribution and current repair hit pages for this sample before expanding rules, ensuring all subsequent targeted fixes advance based on the same set of real pages","Add `json_sci.json` regression in `test_paddle_adapter.py`: assert empty `text` slot pages are 1/2/3/4/6/9/11/14/15/16, repair hit pages are 1/2/3/4/9/11/14, and both absorber/peer of repair pairs must be original `label=text`","done","pytest backend/scripts/devtools/tests/document_schema/test_paddle_adapter.py -q","`json_sci` added to normalize regression ledger; under current structure, 7 of 10 empty `text` slots are repaired, 3 are stably skipped due to insufficient height","Next: if tightening rules, prioritize `label=text` geometric conditions; do not let judgments leak back into translation or rendering layers","wxyhgk","2026-04-17"
"normalize-mainline","I023","paddle-front-matter-classification","Front matter plain `text` on `json_sci` page 1, such as author lines, institution lines, and `Supporting Information`, are directly labeled as `body` in normalize, polluting the 'translate body only' mainline","Identifying front matter pages at the Paddle classification layer and downgrading original `label=text` before the first actual body heading to `metadata` strips authors/institutions/supplementary info from the body while preserving the abstract and body start","Add `body_flow_start_order` in `provider_adapters/paddle/relations.py`; classify `label=text` before the body heading on front matter pages as `text/metadata`; add `json_sci` page1 regression test","done","pytest backend/scripts/devtools/tests/document_schema/test_paddle_adapter.py -q","Author lines, institution lines, and `Supporting Information` on `json_sci` page1 are now downgraded from `body` to `metadata`, while the `abstract -> heading -> body` classification boundary remains unchanged","Next: check if other front or tail `label=text` are mislabeled as `body` in Paddle normalize, prioritizing correction at the classification layer","wxyhgk","2026-04-17"
"normalize-mainline","I024","paddle-provider-native-split","Tests show new Paddle provider results with `mergeLayoutBlocks=false` natively split double-column body text; continuing old `body_repair` only preserves legacy patches and increases branch complexity","If provider declares `merge_layout_blocks=false`, normalize should trust provider segmentation and skip `body_repair`, reverting the mainline to 'provider original segmentation + normalize classification'","Detect `prunedResult.model_settings.merge_layout_blocks` in `provider_adapters/paddle/page_reader.py`; skip `body_repair` if `false`. Replace old results with new provider JSON from real job `20260416111348-9141bd` and rerun normalize to confirm `body_repair_pair_count=0`","done","pytest backend/scripts/devtools/tests/document_schema/test_paddle_adapter.py -q; python3 backend/scripts/devtools/tests/document_schema/regression_check.py; rerun data/jobs/20260416111348-9141bd/specs/normalize.spec.json","Under new Paddle results, all 6 pages have `merge_layout_blocks=false`, `empty_text=0`, and `body_repair_pair_count=0`; legacy cross-column repair logic no longer affects this mainline","Next step: clean up trailing metadata text still mislabeled as `body` in new Paddle results; stop focusing on cross-column repair","wxyhgk","2026-04-17"
"normalize-mainline","I025","paddle-metadata-cues","After switching to provider native splitting, the primary noise is no longer empty bboxes, but tail metadata/publisher text still categorized as `body` via `label=text`, e.g., `Competing interests`, `funded by`, `Received/Published`, `Cite this article`, `Submit your manuscript`","Identifying these strong metadata cues directly in the Paddle classification layer and moving corresponding `text`/`paragraph_title` to `metadata` will further reduce the probability of non-body text entering the translation pipeline, removing reliance on translation-layer rules","Add metadata text cue and ancillary tail heading rules in `provider_adapters/paddle/relations.py`; add regression tests in `test_paddle_adapter.py`. Verified real job page5: `Competing interests` heading and subsequent text are now `metadata`","done","pytest backend/scripts/devtools/tests/document_schema/test_paddle_adapter.py -q","Under new Paddle results, page5 `Competing interests` heading, declarations, funding, and received/published are all moved from `body/heading` to `metadata`; 20 adapter regression tests passed","Next: scan page6 for remaining publisher tail page residues; if leaked text exists, continue applying narrow rule shifts in the Paddle classification layer","wxyhgk","2026-04-17"
