id,status,task,files,verify
F01,done,Fix status card OCR visual stage and upload animation to prevent OCR substate from leaking into translation stage,"src/js/components/status/job-status-card.js;src/js/job-stage-presentation.js;src/js/job-status-summary.js","node --check src/js/components/status/job-status-card.js; node --check src/js/job-stage-presentation.js; node --check src/js/job-status-summary.js"
F02,done,Add OCR page number and progress bar fallback so that scenes like page 0/100 don't move only the bar without text,"src/js/job-status-summary.js;scripts/status-presentation-smoke.mjs","node scripts/status-presentation-smoke.mjs"
F03,done,Refactor the display order of translation stage cross-column/page, page policies, translation batches, and garbled fix,"src/js/components/status/job-status-card.js;src/js/job-status-summary.js","node scripts/status-presentation-smoke.mjs"
F22,done,Lightweight global state management, add domain defaults and reset/update helpers, replace duplicate job/upload/recent resets,"src/js/state.js;src/js/features/job-runtime/controller.js;src/js/features/job-runtime/runtime-reset.js;src/js/job-ui-actions.js;src/js/features/app-actions/view.js;src/js/features/recent-jobs/state.js;src/js/features/upload/controller.js","node --check src/js/state.js; node --check src/js/features/job-runtime/controller.js; node --check src/js/features/job-runtime/runtime-reset.js; node --check src/js/job-ui-actions.js"
F23,done,Split status-detail-dialog Web Component, move long template and translation diagnostic render helper out of component class,"src/js/components/dialogs/status-detail-dialog.js;src/js/components/dialogs/status-detail-dialog-template.js;src/js/components/dialogs/status-detail-dialog-translation.js","node --check src/js/components/dialogs/status-detail-dialog.js; node --check src/js/components/dialogs/status-detail-dialog-template.js; node --check src/js/components/dialogs/status-detail-dialog-translation.js"
F24,done,Split job-status-card Web Component template, move status card DOM template into job-status-card-template.js,"src/js/components/status/job-status-card.js;src/js/components/status/job-status-card-template.js","node --check src/js/components/status/job-status-card.js; node --check src/js/components/status/job-status-card-template.js"
F25,done,Split job-status-card Web Component stage Lottie animation control, move load, switch and cleanup logic into job-status-card-animation.js,"src/js/components/status/job-status-card.js;src/js/components/status/job-status-card-animation.js","node --check src/js/components/status/job-status-card.js; node --check src/js/components/status/job-status-card-animation.js"
F26,done,Split job-status-card Web Component progress and action render helper, move progress bar, elapsed time, cancel/home and result action DOM updates into job-status-card-rendering.js,"src/js/components/status/job-status-card.js;src/js/components/status/job-status-card-rendering.js","node --check src/js/components/status/job-status-card.js; node --check src/js/components/status/job-status-card-rendering.js"
F27,done,Split job-status-card Web Component stage flow helper, move OCR/translation/render/done step button state and selected state parsing into job-status-card-stage-flow.js,"src/js/components/status/job-status-card.js;src/js/components/status/job-status-card-stage-flow.js","node --check src/js/components/status/job-status-card.js; node --check src/js/components/status/job-status-card-stage-flow.js"
F28,done,Split status-detail-dialog Web Component overview/failure/event render helper, move headline, runtime, failure diagnosis, event list and stage history DOM updates into status-detail-dialog-rendering.js,"src/js/components/dialogs/status-detail-dialog.js;src/js/components/dialogs/status-detail-dialog-rendering.js","node --check src/js/components/dialogs/status-detail-dialog.js; node --check src/js/components/dialogs/status-detail-dialog-rendering.js"
F29,done,Split status-detail-dialog translation diagnosis DOM query boundary, move summary/list/detail/replay element collection into status-detail-dialog-translation-dom.js,"src/js/components/dialogs/status-detail-dialog-translation.js;src/js/components/dialogs/status-detail-dialog-translation-dom.js","node --check src/js/components/dialogs/status-detail-dialog-translation.js; node --check src/js/components/dialogs/status-detail-dialog-translation-dom.js"
F30,done,Split recent-jobs-dialog Web Component, move recent tasks dialog template and list/empty/error/pagination rendering into independent helper,"src/js/components/dialogs/recent-jobs-dialog.js;src/js/components/dialogs/recent-jobs-dialog-template.js;src/js/components/dialogs/recent-jobs-dialog-rendering.js","node --check src/js/components/dialogs/recent-jobs-dialog.js; node --check src/js/components/dialogs/recent-jobs-dialog-template.js; node --check src/js/components/dialogs/recent-jobs-dialog-rendering.js"
F31,done,Split reader-dialog Web Component, move template, loading/toolbar/frame rendering and event binding into independent helper, and make reader-dialog view prefer component methods to access iframe and events,"src/js/components/dialogs/reader-dialog.js;src/js/components/dialogs/reader-dialog-template.js;src/js/components/dialogs/reader-dialog-rendering.js;src/js/components/dialogs/reader-dialog-events.js;src/js/features/reader-dialog/view.js","node --check src/js/components/dialogs/reader-dialog.js; node --check src/js/components/dialogs/reader-dialog-template.js; node --check src/js/components/dialogs/reader-dialog-rendering.js; node --check src/js/components/dialogs/reader-dialog-events.js; node --check src/js/features/reader-dialog/view.js"
F32,done,Fix issue of bottom entry buttons not clickable on home page with short window, add fixed bottom layout and clickable layer for idle query-entry,"src/styles/components.css;styles.css","npm run build:css; Chromium DevTools mouse click retest developer/credentials/recent buttons"
F33,done,Change home page developer entry to bbpp easter egg trigger, hide developer button by default and show it after consecutive bbpp presses outside input fields,"src/js/components/layout/app-shell-header.js;src/js/features/developer/view.js","node --check src/js/components/layout/app-shell-header.js; node --check src/js/features/developer/view.js; Chromium DevTools retest bbpp reveal"
F34,done,Enhance API settings entry click fallback, add document delegated click handler for credentials-btn, ensuring clicking the SVG inside the icon also opens the API settings dialog,"src/js/features/credentials/view.js","node --check src/js/features/credentials/view.js; Chromium DevTools mouse click retest credentials-btn"
F35,done,Fix unstable click on PDF entries in recent tasks list, change recent-job-item from per-item binding to list-level event delegation, so clicking internal text or tags can also start task polling,"src/js/components/dialogs/recent-jobs-dialog-rendering.js;src/js/features/recent-jobs/view.js","node --check src/js/components/dialogs/recent-jobs-dialog-rendering.js; node --check src/js/features/recent-jobs/view.js; delegated click smoke"
F36,done,Enhance recent tasks navigation feedback, immediately close dialog and render queued placeholder status card after clicking entry, then asynchronously fetch real task status; empty job_id shows clear error,"src/js/features/recent-jobs/controller.js;src/js/features/job-runtime/controller.js","node --check src/js/features/recent-jobs/controller.js; node --check src/js/features/job-runtime/controller.js; recent job click path smoke"
F37,done,Fix startPolling crash after clicking recent task, job-runtime controller now passes state when calling stopPolling to avoid reading undefined.timer from runtime-state,"src/js/features/job-runtime/controller.js","node --check src/js/features/job-runtime/controller.js; rg 'stopPolling\\(\\)' src/js -g '.js'; node scripts/status-presentation-smoke.mjs"
F38,done,Fix task status card detail button and short window layout, add idempotent protection for detail dialog open, center status card vertically in processing/result mode and compress in short height to ensure detail button clickable,"src/js/features/status-detail/view.js;src/js/components/dialogs/status-detail-dialog.js;src/styles/components.css;src/styles/status-card.css;styles.css","node --check src/js/features/status-detail/view.js; node --check src/js/components/dialogs/status-detail-dialog.js; npm run build:css; Chromium mouse click retest status-detail-btn; node scripts/status-presentation-smoke.mjs"
F39,done,Reduce blob:http security warnings for side-by-side reading downloads, change original PDF and translated PDF toolbar downloads to directly open artifact URL, only keep blob download for frontend temporarily synthesized side-by-side PDF,"src/js/features/reader-dialog/controller.js;src/js/features/reader-dialog/view.js","node --check src/js/features/reader-dialog/controller.js; node --check src/js/features/reader-dialog/view.js; node scripts/status-presentation-smoke.mjs"
